Grasp #	left finger	right finger	middle finger	palm	maxofleft	maxofright	maxofmiddle	maxofpalm
1	0.480625	0.425625	0.516875	0.4495	0.9275	1.0625	0.91	1.055
2	0.48	0.36875	0.546875	0.292166667	0.9375	1.095	0.885	1.2
3	0.50875	0.610625	0.5325	0.373333333	0.9975	1.2275	0.9125	1.1625
4	0.496875	0.575	0.56375	0.348	0.9425	1.2325	0.88	1.25
5	0.506875	0.52125	0.50375	0.423	0.965	1.2275	0.8275	1.095
6	0.494375	0.494375	0.52625	0.426333333	0.935	1.1575	0.8525	1.13
7	0.49375	0.395	0.511875	0.486666667	0.935	1.06	0.8375	1.0925
8	0.304375	0.3825	0.241875	0.01	0.94	1.09	0.6725	0.0775
9	0.58125	0.711875	0.65625	0.002833333	1.07	0.8925	1.005	0.0075
10	0.89125	0.50375	0.514375	0.001833333	1.0975	0.84	0.8625	0.005
11	0.491875	0.36375	0.57	0.307666667	0.955	1.025	0.9225	1.215
12	0.591875	0.411875	0.52625	0.312	1.0025	1.1825	0.835	1.19
13	0.599375	0.3925	0.564375	0.353833333	0.935	1.1625	0.8375	0.9875
14	0.614375	0.408125	0.51375	0.349833333	1.025	1.16	0.84	1.255
15	0.576875	0.353125	0.516875	0.470666667	0.9375	1.2075	0.84	1.155
16	0.57875	0.40625	0.56875	0.4385	0.8975	1.1275	0.8825	0.875
17	0.584375	0.368125	0.508125	0.442	0.9925	1.235	0.8625	1.16
18	0.713125	0.31125	0.404375	0.0145	0.98	1.0775	0.8525	0.0975
19	0.843125	0.27125	0.423125	0.008666667	0.9725	0.9375	0.8475	0.07
20	0.51375	0.493125	0.510625	0.001833333	1.0275	1.0775	0.9675	0.0175
21	0.425	0.369375	0.533125	0.2865	0.94	1.125	0.845	1.2475
22	0.588125	0.40625	0.54875	0.2935	0.985	1.0675	0.815	1.2525
23	0.595	0.4525	0.534375	0.326333333	1.05	1.26	0.81	1.24
24	0.565625	0.435625	0.55375	0.461166667	0.995	1.2225	0.825	0.975
25	0.550625	0.46375	0.5275	0.288166667	1.015	1.26	0.815	1.2425
26	0.53125	0.43875	0.53875	0.329333333	1	1.2425	0.8225	1.1675
27	0.526875	0.455625	0.53125	0.3075	1.0175	1.245	0.8225	1.21
28	0.66875	0.485	0.56625	0.017666667	0.985	1.23	0.8275	0.1825
29	0.485625	0.514375	0.459375	0.003	0.965	1.085	0.94	0.01
30	0.371875	0.33625	0.214375	0.001833333	0.825	1.1975	0.6625	0.005
31	0.42125	0.395	0.521875	0.295666667	0.945	1.175	0.815	1.1275
32	0.53	0.44125	0.5525	0.385	0.9875	1.26	0.8225	1.205
33	0.526875	0.445625	0.53875	0.430333333	1.0275	1.2575	0.8175	1.22
34	0.521875	0.44125	0.528125	0.370166667	1.02	1.23	0.8225	1.2525
35	0.510625	0.4425	0.5275	0.285666667	1.005	1.205	0.8275	1.235
36	0.51875	0.435625	0.530625	0.323666667	1.035	1.2	0.825	1.22
37	0.51375	0.4275	0.53375	0.317166667	1.025	1.1825	0.83	1.17
38	0.50875	0.36875	0.34625	0.002	1.0275	1.205	0.715	0.0075
39	0.069375	0.2125	0.055625	0.0215	0.15	0.6275	0.1225	0.08
40	0.74875	0.348125	0.415625	0.005333333	1.0175	0.715	0.7525	0.03
41	0.459375	0.32375	0.516875	0.436333333	0.9525	1.1975	0.8325	1.105
42	0.503125	0.405	0.491875	0.446333333	0.95	1.2525	0.8275	1.1
43	0.4525	0.375625	0.485	0.297333333	0.8925	1.1775	0.845	0.8725
44	0.4875	0.384375	0.455	0.290166667	0.9825	1.2025	0.8225	0.835
45	0.485	0.395	0.515625	0.263333333	0.9725	1.245	0.82	0.81
46	0.490625	0.425	0.529375	0.2725	1.01	1.14	0.8275	1.125
47	0.495	0.345	0.3875	0.365333333	1.04	1.25	0.8275	1.165
48	0.506875	0.4175	0.494375	0.244666667	1.0775	1.1225	0.825	1.17
49	0.466875	0.361875	0.246875	0.0035	0.905	1.215	0.6925	0.015
50	0.47125	0.373125	0.400625	0.002166667	0.8925	1.1025	0.8425	0.0125
61	0.93625	0.700625	0.81875	0.001166667	1.1525	1.1825	0.9	0.005
62	0.31125	0.348125	0.529375	0.316	0.9525	1.0575	0.825	1.0025
63	0.496875	0.445	0.5325	0.2665	0.9925	1.265	0.8925	1.2175
