Grasp #	left finger	right finger	middle finger	palm	maxofleft	maxofright	maxofmiddle	maxofpalm
1	0.13	0.499375	0.665625	0.001166667	0.4575	0.86	1.0675	0.0025
2	0.24375	0.26625	0.376875	0.028833333	0.8575	0.8775	0.91	0.285
3	0.263125	0.281875	0.259375	0.097666667	0.93	0.8425	0.7325	0.8775
4	0.4575	0.51125	0.055625	0.002166667	0.8725	0.87	0.15	0.005
5	0.4175	0.5275	0.188125	0.0055	0.8575	1.04	0.365	0.055
6	0.435	0.558125	0.085	0.009166667	0.84	1.0075	0.2025	0.06
7	0.423125	0.344375	0.035625	0.020166667	0.82	0.845	0.0675	0.175
8	0.406875	0.0425	0.244375	0.144166667	0.8225	0.1325	0.66	1.1425
9	0.67	0.55625	0.33625	0.004	0.9525	0.885	0.6825	0.0275
10	0.2975	0.603125	0.624375	0.002	0.9675	1.06	1.105	0.005
11	0.226875	0.736875	0.450625	0.002166667	0.825	1.14	1.0775	0.005
12	0.371875	0.594375	0.01	0.1195	0.8825	0.8725	0.02	0.9275
13	0.54	0.4175	0.224375	0.008833333	0.9175	0.875	0.7525	0.0575
14	0.5325	0.50375	0.019375	0.100833333	1.1825	0.925	0.045	0.95
15	0.21875	0.5025	0.02625	0.029833333	0.7775	0.8775	0.08	0.17
16	0.25875	0.315	0.12125	0.105666667	0.8675	0.9675	0.1975	0.44
17	0.249375	0.5775	0.118125	0.1045	0.8675	0.86	0.2275	0.3
18	0.21125	0.356875	0.269375	0.113333333	0.795	0.995	0.6575	0.34
19	0.313125	0.473125	0.414375	0.003833333	1.1	0.87	0.8375	0.0175
20	0.065	0.8675	0.58875	0.002	0.21	1.0875	0.975	0.01
21	0.2475	0.031875	0.163125	0.09	0.905	0.11	0.3175	0.3075
22	0.225	0.029375	0.510625	0.127333333	0.8125	0.09	0.8125	0.4825
23	0.16875	0.0975	0.231875	0.324666667	0.585	0.33	0.65	1.1675
24	0.235625	0.116875	0.151875	0.158	0.8675	0.3575	0.4025	0.605
25	0.224375	0.068125	0.01875	0.184333333	0.8725	0.17	0.025	0.76
26	0.22625	0.021875	0.18	0.0995	0.865	0.03	0.3925	0.545
27	0.235625	0.06875	0.255625	0.165833333	0.8525	0.15	0.595	0.745
28	0.25625	0.543125	0.395625	0.0035	0.88	0.88	0.7675	0.015
29	0.259375	0.7525	0.341875	0.000666667	0.9	1.19	0.6925	0.005
30	0.239375	0.734375	0.530625	0.0015	0.8575	1.1275	0.7025	0.005
31	0.09	0.44	0.09125	0.058833333	0.33	0.985	0.32	0.325
32	0.225625	0.665	0.01875	0.143333333	0.8875	1.0625	0.03	0.745
33	0.046875	0.448125	0.6325	0.1035	0.08	0.995	1.1375	0.73
34	0.185	0.536875	0.415	0.030833333	0.575	1.17	0.94	0.27
35	0.370625	0.43625	0.281875	0.082333333	1.19	0.9425	0.5725	0.7325
36	0.10125	0.436875	0.565	0.0675	0.2425	0.9575	0.9575	0.6625
37	0.34	0.550625	0.168125	0.004666667	0.965	1.2025	0.235	0.0275
38	0.465625	0.593125	0.43625	0.0025	0.915	1.1075	1.1675	0.01
39	0.04625	0.0175	0.21375	0.001833333	0.1525	0.035	0.635	0.005
40	0.0225	0.49875	0.163125	0.001666667	0.0675	0.9725	0.575	0.0025
41	0.01375	0.094375	0.03	0.003666667	0.0275	0.3625	0.0775	0.025
42	0.06625	0.04	0.015	0.036166667	0.2375	0.075	0.0375	0.24
43	0.075	0.13	0.004375	0.077666667	0.29	0.51	0.01	0.5875
44	0.02	0.019375	0.02625	0.002	0.05	0.0575	0.075	0.0075
45	0.009375	0.036875	0.03	0.002	0.0175	0.1225	0.055	0.005
46	0.2	0.04	0.244375	0.0035	0.76	0.0775	0.715	0.0325
47	0.003125	0.00375	0.001875	0.004	0.005	0.01	0.0025	0.04
48	0.24625	0.00375	0.6225	0.001333333	0.885	0.0075	1.12	0.005
49	0.149375	0.0025	0.764375	0.001	0.51	0.01	1.15	0.0025
50	0.00625	0.26625	0.14125	0.007333333	0.0175	0.9525	0.3925	0.0475
51	0.003125	0.260625	0.0175	0.023	0.01	0.955	0.0325	0.145
52	0.02625	0.44625	0.013125	0.0555	0.08	1.08	0.025	0.63
53	0.0025	0.44	0.01	0.0215	0.0075	0.9775	0.015	0.1125
54	0.008125	0.466875	0.0075	0.009	0.0225	1.02	0.015	0.03
55	0.10375	0.38125	0.01	0.069333333	0.365	1.0175	0.0175	0.6275
56	0.011875	0.374375	0.01	0.013833333	0.035	0.9375	0.0175	0.045
57	0.03625	0.508125	0.541875	0.002666667	0.085	0.875	1.03	0.015
58	0.01375	0.595	0.441875	0.002	0.0475	0.8925	0.665	0.005
59	0.068125	0.67	0.629375	0.002166667	0.23	0.9125	1.0725	0.005
60	0.000625	0.2625	0.008125	0.018	0.0025	0.955	0.01	0.065
61	0.25875	0.081875	0.0075	0.117333333	0.865	0.175	0.01	0.6425
62	0.00625	0.28375	0.008125	0.041333333	0.0125	0.97	0.015	0.15
63	0.0025	0.55625	0.011875	0.035	0.01	1.16	0.0225	0.1875
64	0.003125	0.505625	0.0125	0.0605	0.005	1.095	0.0275	0.4175
65	0.009375	0.454375	0.011875	0.036333333	0.015	0.9125	0.0225	0.13
66	0.003125	0.345	0.464375	0.015166667	0.005	0.89	0.78	0.085
67	0.02	0.609375	0.59125	0.000666667	0.05	0.905	1.1675	0.005
68	0.038125	0.596875	0.513125	0.001166667	0.0725	0.9425	0.9175	0.005
69	0.02	0.609375	0.59125	0.000666667	0.05	0.905	1.1675	0.005
70	0.06	0.589375	0.609375	0.001666667	0.15	0.9	1.0175	0.005
71	0.003125	0.45875	0.011875	0.054833333	0.005	0.9675	0.0225	0.2475
72	0.003125	0.4675	0.458125	0.019666667	0.005	1.135	0.705	0.16
73	0.00125	0.49125	0.013125	0.065166667	0.0025	1.0875	0.015	0.505
74	0.00125	0.00125	0.001875	0.006	0.0025	0.0025	0.0025	0.035
75	0.00125	0.001875	0.00125	0.004666667	0.0025	0.0025	0.005	0.04
76	0.0025	0.3975	0.014375	0.06	0.0075	0.85	0.0225	0.21
