Grasp #	left finger	right finger	middle finger	palm	maxofleft	maxofright	maxofmiddle	maxofpalm
1	0.2075	0.480625	0.494375	0.036666667	0.7	1.1875	0.9225	0.3525
2	0.5325	0.20625	0.249375	0.072833333	0.865	0.475	0.63	0.385
3	0.29375	0.548125	0.02375	0.078833333	0.84	1.015	0.0425	0.3525
4	0.471875	0.37875	0.0275	0.0835	0.9575	0.87	0.0475	0.4175
5	0.454375	0.755625	0.02375	0.107666667	0.905	1.115	0.0475	0.8125
6	0.433125	0.20625	0.080625	0.050166667	0.84	0.53	0.1975	0.3075
7	0.4075	0.53375	0.004375	0.082833333	0.805	0.84	0.0075	0.655
8	0.225	0.639375	0.0075	0.045333333	0.8025	0.865	0.02	0.3275
9	0.2825	0.50125	0.253125	0.003166667	0.98	0.8725	0.8325	0.0125
10	0.235625	0.563125	0.33	0.0015	0.8325	0.865	0.7625	0.0025
11	0.02875	0.578125	0.66625	0.001666667	0.09	0.87	0.9475	0.005
12	0.2925	0.069375	0.21125	0.125666667	0.8625	0.1425	0.795	0.8275
13	0.41125	0.1175	0.2575	0.104	0.81	0.395	0.6825	0.6425
14	0.360625	0.0375	0.275	0.120666667	0.9125	0.0975	0.885	0.83
15	0.304375	0.315	0.015	0.008666667	0.825	0.89	0.0325	0.0775
16	0.204375	0.06	0.145	0.097833333	0.7375	0.2	0.39	0.6775
17	0.206875	0.126875	0.074375	0.007666667	0.7525	0.29	0.185	0.0675
18	0.284375	0.1	0.011875	0.028333333	0.8	0.36	0.02	0.145
19	0.23375	0.12375	0.105625	0.096666667	0.79	0.3775	0.3725	0.5575
20	0.375	0.459375	0.415625	0.002166667	0.8925	0.89	1.025	0.005
21	0.340625	0.54875	0.680625	0.001166667	0.895	0.8675	1.125	0.0025
22	0.50125	0.675	0.655	0.0015	0.89	0.945	1.145	0.005
23	0.3675	0.659375	0.378125	0.008166667	0.8325	0.8825	1.155	0.09
24	0.605625	0.0425	0.1975	0.052166667	1.065	0.0625	0.6875	0.5675
25	0.1975	0.578125	0.5975	0.113333333	0.48	1.1875	1.115	1.0575
26	0.333125	0.5975	0.011875	0.078333333	0.885	0.875	0.0175	0.7575
27	0.306875	0.531875	0.006875	0.060833333	0.8175	1.015	0.015	0.48
28	0.236875	0.43	0.151875	0.061666667	0.8125	0.9925	0.3075	0.44
