Grasp #	left finger	right finger	middle finger	palm	maxofleft	maxofright	maxofmiddle	maxofpalm
1	0.00375	0.326875	0.006875	0.0565	0.01	0.955	0.01	0.3075
2	0.001875	0.47875	0.0075	0.064333333	0.0025	0.985	0.02	0.345
3	0.003125	0.465625	0.009375	0.057166667	0.0075	0.9075	0.0175	0.2575
4	0.003125	0.46	0.011875	0.078	0.005	0.9575	0.0225	0.4
5	0.0025	0.466875	0.005625	0.078	0.0075	0.975	0.01	0.42
6	0.004375	0.480625	0.010625	0.063166667	0.01	0.97	0.02	0.2225
7	0.059375	0.505	0.5	0.002166667	0.125	0.9025	0.955	0.01
8	0.085625	0.55875	0.5575	0.001	0.24	0.9075	0.75	0.0025
9	0.074375	0.006875	0.30375	0.001166667	0.1575	0.0175	0.7825	0.005
10	0.004375	0.261875	0.01	0.053	0.01	0.98	0.02	0.395
11	0.064375	0.169375	0.010625	0.098166667	0.19	0.55	0.02	0.8125
12	0.0125	0.32875	0.005625	0.034	0.04	0.94	0.01	0.3175
13	0.00125	0.43125	0.003125	0.050833333	0.005	0.9875	0.005	0.3325
14	0.00125	0.378125	0.005625	0.030833333	0.0025	0.925	0.0125	0.19
15	0.001875	0.33	0.010625	0.03	0.0075	0.9225	0.015	0.1475
16	0.00125	0.31125	0.010625	0.030333333	0.0025	0.865	0.0175	0.1325
17	0.20875	0.486875	0.22125	0.002833333	0.755	0.89	0.615	0.0075
18	0.013125	0.54875	0.56	0.002	0.02	0.885	0.8675	0.005
19	0.37125	0.575625	0.423125	0.001833333	0.735	0.9	0.76	0.005
20	0.016875	0.318125	0.0125	0.027666667	0.04	0.8325	0.04	0.1625
21	0.008125	0.271875	0.005	0.044166667	0.025	0.92	0.01	0.2575
22	0.0375	0.28125	0.011875	0.0835	0.0975	0.89	0.0175	1.0425
23	0.00625	0.359375	0.0075	0.024666667	0.0175	0.955	0.0125	0.1625
24	0.33875	0.0125	0.00875	0.133833333	0.7325	0.025	0.015	0.72
25	0.2525	0.044375	0.0075	0.106	0.7275	0.07	0.015	0.7125
26	0.026875	0.263125	0.005625	0.019333333	0.04	0.9925	0.01	0.0725
27	0.030625	0.346875	0.005625	0.031	0.06	0.98	0.0125	0.3
28	0.043125	0.529375	0.255625	0.0025	0.1275	0.88	0.5575	0.0075
29	0.29375	0.56875	0.455	0.001166667	0.7125	0.895	0.815	0.005
30	0.055	0.03875	0.45875	0.003666667	0.1225	0.075	0.9375	0.0125
31	0.185625	0.030625	0.795625	0.003333333	0.6875	0.0775	0.905	0.01
32	0.024375	0.020625	0.048125	0.044333333	0.055	0.035	0.095	0.4975
33	0.001875	0.003125	0.006875	0.0015	0.005	0.005	0.0225	0.005
34	0.009375	0.003125	0.00375	0.004166667	0.02	0.01	0.01	0.02
35	0.001875	0.003125	0.006875	0.0015	0.005	0.005	0.0225	0.005
36	0.0075	0.00375	0.000625	0.002	0.015	0.005	0.0025	0.01
37	0.011875	0.010625	0.0075	0.001833333	0.035	0.0275	0.0175	0.005
38	0.219375	0	0.05125	0.001	0.74	0	0.0875	0.0025
39	0.025	0.00125	0.274375	0.001	0.0725	0.0025	0.58	0.005
40	0.035	0.000625	0.0125	0.001333333	0.07	0.0025	0.04	0.005
41	0.000625	0.000625	0.000625	0.0015	0.0025	0.0025	0.0025	0.0025
42	0.010625	0.008125	0.00125	0.012	0.03	0.015	0.005	0.1375
43	0.02375	0.008125	0.000625	0.002833333	0.045	0.02	0.0025	0.025
44	0.020625	0.01875	0.001875	0.0035	0.06	0.035	0.005	0.0225
45	0.01	0.006875	0.000625	0.006166667	0.0225	0.02	0.0025	0.0525
46	0.02625	0.035	0.000625	0.002166667	0.045	0.095	0.0025	0.02
47	0.019375	0.005	0.000625	0.001666667	0.0525	0.015	0.0025	0.005
48	0.091875	0.00375	0.036875	0.001	0.215	0.01	0.1175	0.0025
49	0.06625	0.01625	0.4175	0.001	0.1425	0.06	0.7975	0.005
50	0.2925	0.069375	0.21125	0.125666667	0.8625	0.1425	0.795	0.8275
51	0.41125	0.1175	0.2575	0.104	0.81	0.395	0.6825	0.6425
52	0.360625	0.0375	0.275	0.120666667	0.9125	0.0975	0.885	0.83
53	0.304375	0.315	0.015	0.008666667	0.825	0.89	0.0325	0.0775
54	0.204375	0.06	0.145	0.097833333	0.7375	0.2	0.39	0.6775
55	0.206875	0.126875	0.074375	0.007666667	0.7525	0.29	0.185	0.0675
56	0.284375	0.1	0.011875	0.028333333	0.8	0.36	0.02	0.145
57	0.23375	0.12375	0.105625	0.096666667	0.79	0.3775	0.3725	0.5575
58	0.375	0.459375	0.415625	0.002166667	0.8925	0.89	1.025	0.005
59	0.340625	0.54875	0.680625	0.001166667	0.895	0.8675	1.125	0.0025
60	0.50125	0.675	0.655	0.0015	0.89	0.945	1.145	0.005
61	0.000625	0.000625	0.000625	0.0015	0.0025	0.0025	0.0025	0.0025
62	0.010625	0.008125	0.00125	0.012	0.03	0.015	0.005	0.1375
63	0.48375	0.083125	0.473125	0.486333333	1	0.2	0.8175	1.1825
64	0.058125	0.0275	0.42	0.3345	0.115	0.0725	0.8475	1.2175
65	0.509375	0.111875	0.56125	0.376166667	0.995	0.355	0.8075	1.045
66	0.225625	0.138125	0.551875	0.239	0.6925	0.3925	0.88	1.0125
67	0.515625	0.079375	0.421875	0.3265	1.025	0.17	0.8325	1.01
68	0.10375	0.065	0.445	0.461166667	0.2425	0.1475	0.82	1.085
